Time,leaps,gnssId,SatelliteID,C1C,L1C,D1C,C1Cstd,L1Cstd,D1Cstd,C1Cvalid,L1Cvalid,L1CLocktime,L1CHalfCycleValid,L1CHalfCycleSubtrated,C1Csnr,C2X,L2X,D2X,C2Xstd,L2Xstd,D2Xstd,C2Xvalid,L2Xvalid,L2XLocktime,L2XHalfCycleValid,L2XHalfCycleSubtrated,C2Xsnr
2024-07-10 07:31:17.002,18,0,15,24464787.427729893,128563330.19271025,-371.441650390625,7.0,5.0,8.0,1.0,1.0,3000.0,0.0,0.0,37.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,0,16,21574200.4946736,113373190.16002205,-2261.7919921875,3.0,2.0,6.0,1.0,1.0,27000.0,1.0,1.0,47.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,0,23,21690312.27170862,113983359.80124119,-77.890625,3.0,2.0,6.0,1.0,1.0,27000.0,1.0,1.0,46.0,21690309.47320296,88818189.97344454,-60.795658111572266,6.0,5.0,8.0,1.0,1.0,22460.0,1.0,0.0,35.0
2024-07-10 07:31:17.002,18,0,27,21223323.898201033,111529318.79179676,676.122314453125,4.0,2.0,7.0,1.0,1.0,27000.0,1.0,1.0,42.0,21223319.637297325,86905945.36071695,535.86572265625,10.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,23.0
2024-07-10 07:31:17.002,18,0,26,23435269.52838248,123153174.3057986,-4214.587890625,7.0,5.0,8.0,1.0,1.0,1300.0,0.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,0,1,23600247.21402172,124020146.1905272,-4566.13720703125,6.0,4.0,8.0,1.0,1.0,5820.0,1.0,1.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,0,10,22922619.631499235,120459177.04063004,1923.72509765625,4.0,3.0,7.0,1.0,1.0,11520.0,1.0,1.0,45.0,22922618.46521714,93864293.94249038,1499.24462890625,8.0,4.0,8.0,1.0,1.0,2780.0,1.0,0.0,35.0
2024-07-10 07:31:17.002,18,0,7,25677416.956511598,134935729.24838197,-425.87890625,7.0,5.0,9.0,1.0,1.0,1920.0,0.0,0.0,35.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,0,18,22906253.24217651,120373171.95801447,-3546.325439453125,5.0,3.0,8.0,1.0,1.0,10140.0,1.0,1.0,43.0,22906248.173886128,93797250.68690786,-2763.0966796875,4.0,3.0,7.0,1.0,1.0,27000.0,1.0,1.0,39.0
2024-07-10 07:31:17.002,18,0,8,23479297.156041976,123384545.6593792,2207.856201171875,7.0,6.0,9.0,1.0,1.0,1200.0,0.0,0.0,33.0,23479300.267296858,96143809.12526165,1716.300537109375,9.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,24.0
